,WHITE,ALCHY,JUNKY,SUPER,MARRIED,FELON,WORKREL,PROPTY,PERSON,MALE,PRIORS,SCHOOL,RULE,AGE,TSERVD,FOLLOW,RECID,TIME,FILE
5,1,0,0,0,0,0,0,0,0,1,1,10,2,263,17,76,1,50,3
6,1,0,0,1,0,0,1,0,0,1,1,9,1,276,43,71,1,29,2
8,0,0,0,1,0,1,0,1,0,1,0,12,5,257,40,78,1,28,3
17,0,0,0,1,0,1,1,1,0,1,0,10,0,238,26,80,0,0,3
18,1,0,0,1,0,1,1,0,0,1,0,16,0,301,17,79,1,67,2
23,1,0,0,0,0,0,1,1,0,1,0,9,5,262,27,81,1,9,1
25,1,0,0,1,0,0,0,0,0,1,0,10,3,242,20,80,1,39,2
27,0,0,0,1,0,1,0,1,0,1,1,9,0,305,9,78,1,70,3
30,0,0,1,1,0,1,0,1,0,1,2,9,2,250,52,81,1,16,2
32,0,0,0,1,0,0,0,0,0,1,0,10,1,226,12,76,1,28,3
33,1,0,0,1,0,1,0,0,0,1,0,8,1,229,21,75,1,19,3
35,1,0,1,1,0,1,1,1,0,1,2,9,3,253,38,76,1,25,1
39,1,0,0,0,0,0,0,0,0,1,0,11,0,218,3,81,1,14,3
45,1,0,1,1,0,0,0,0,0,1,0,9,0,244,4,81,0,0,1
46,1,0,0,0,0,1,0,1,0,1,1,9,1,239,23,74,1,58,3
48,1,0,1,1,0,1,0,0,1,1,0,9,1,253,18,71,0,0,2
49,1,0,0,0,0,0,0,0,0,1,1,7,1,230,3,74,0,0,3
57,1,0,0,0,1,0,0,0,0,1,0,10,0,257,5,80,1,60,2
61,1,0,0,1,1,0,0,0,0,0,0,0,0,245,10,78,0,0,3
65,0,0,0,1,0,0,0,0,0,1,0,9,0,234,36,77,1,33,2
66,0,0,0,1,0,1,0,1,0,1,0,10,7,234,28,70,0,0,3
68,1,0,0,1,0,0,1,0,0,1,0,9,0,235,1,71,0,0,3
71,0,0,0,1,0,0,0,0,0,1,0,9,0,199,4,80,0,0,3
72,0,0,0,1,0,1,0,1,0,1,0,9,2,226,26,78,1,57,3
73,0,0,0,0,0,0,0,0,0,1,0,11,1,212,7,73,0,0,2
75,0,0,0,0,0,0,0,0,0,1,0,10,0,248,6,78,0,0,3
77,0,0,0,1,0,1,1,0,1,0,0,6,0,275,36,73,1,35,1
78,0,0,0,0,0,0,0,0,0,1,0,10,0,200,7,73,0,0,3
83,1,0,0,0,0,0,0,0,0,1,1,10,3,251,7,74,0,0,2
85,0,0,0,1,0,0,0,0,0,1,-9,10,1,217,13,78,1,42,3
89,0,0,0,0,0,0,0,0,0,1,0,12,1,305,9,80,1,73,1
93,1,0,0,1,0,1,0,0,0,1,1,8,5,243,61,74,1,8,3
95,1,0,1,1,0,0,0,0,0,1,2,10,2,264,18,71,1,48,2
96,0,0,1,0,0,0,0,0,0,1,0,9,0,207,8,77,1,14,3
102,1,0,0,1,0,1,1,0,0,1,0,11,0,240,24,77,0,0,3
110,1,1,1,1,1,0,0,0,0,1,0,9,0,235,6,74,0,0,2
111,0,0,0,0,0,0,0,0,0,1,2,10,2,277,9,78,1,25,2
115,1,0,0,1,0,0,0,0,0,1,0,8,0,251,1,80,0,0,3
117,0,0,0,0,0,0,0,0,0,1,2,9,1,240,12,73,1,21,3
120,0,0,0,1,0,1,0,0,1,1,0,8,0,245,29,72,0,73,2
123,1,0,0,1,0,1,1,1,0,1,0,10,0,233,26,80,1,5,3
127,0,0,0,0,0,0,0,0,0,1,0,11,0,211,3,72,1,30,1
129,0,0,0,0,0,0,0,0,0,1,0,6,1,253,6,74,0,0,3
131,0,0,1,1,1,0,1,0,0,1,2,9,1,307,16,76,1,57,2
132,0,0,0,1,0,0,0,0,0,1,0,10,0,228,8,75,1,34,3
138,0,0,0,1,1,0,0,0,0,0,0,11,0,249,1,80,0,0,3
139,0,0,0,0,0,0,0,0,0,1,0,9,1,211,11,72,0,0,2
140,0,0,0,0,0,0,0,0,0,1,1,12,4,313,11,81,1,63,3
147,1,0,0,1,1,1,0,1,0,1,0,9,4,224,40,71,1,7,3
153,1,0,0,0,0,0,1,0,0,1,0,9,0,225,6,73,1,28,2
156,0,1,1,1,0,1,0,1,0,1,1,5,14,250,62,76,1,5,2
157,0,0,0,1,0,0,0,0,0,1,0,9,0,250,14,72,0,0,3
159,1,0,0,1,0,0,0,0,0,1,0,8,1,213,11,74,0,0,3
161,0,0,0,0,0,0,0,0,0,0,0,10,0,227,7,81,0,0,2
162,0,0,0,1,0,0,0,0,0,1,0,6,1,214,13,77,1,10,3
165,1,0,0,1,0,0,0,0,0,1,2,9,2,246,21,73,1,6,2
168,1,0,0,1,0,0,0,0,0,1,0,11,0,218,9,77,1,23,3
175,0,0,0,1,0,0,0,0,0,0,0,9,0,234,2,81,0,0,3
177,0,0,0,0,0,0,0,0,0,1,0,9,0,238,7,80,0,0,2
181,0,0,0,1,0,0,0,0,0,1,1,9,0,288,8,70,1,28,1
182,0,0,0,1,0,1,1,1,0,1,2,10,1,263,45,71,1,11,2
191,1,0,0,1,0,0,0,0,0,1,0,0,0,208,2,75,0,0,3
194,0,0,0,1,0,0,1,0,0,1,0,9,1,229,17,81,0,0,3
195,1,0,0,1,0,0,0,0,0,1,0,10,0,210,4,75,0,0,3
200,1,0,0,0,0,0,0,0,0,1,0,10,4,262,6,76,1,46,3
201,1,0,0,1,0,0,0,0,0,1,3,11,2,239,5,72,0,0,3
207,0,0,1,1,0,0,1,0,0,1,0,9,0,259,11,77,1,11,2
208,0,1,0,0,0,0,0,0,0,1,0,9,1,225,9,72,0,0,2
217,1,0,0,0,0,0,0,0,0,1,0,8,0,268,4,81,1,46,3
223,1,1,0,1,1,0,1,0,0,1,0,8,0,257,5,79,1,5,2
225,0,0,0,1,0,0,0,0,0,1,0,11,0,247,9,72,0,0,2
227,1,0,0,1,0,0,0,0,0,1,1,8,0,267,14,71,1,25,2
231,1,0,0,1,0,0,0,0,0,1,1,11,0,244,7,70,1,11,3
244,0,0,0,0,0,1,0,1,0,1,0,9,1,262,28,78,1,22,2
