,WHITE,ALCHY,JUNKY,SUPER,MARRIED,FELON,WORKREL,PROPTY,PERSON,MALE,PRIORS,SCHOOL,RULE,AGE,TSERVD,FOLLOW,RECID,TIME,FILE
0,1,0,0,1,0,0,0,0,0,1,1,8,0,671,1,81,0,0,3
1,1,0,0,1,0,0,0,0,0,1,2,11,0,507,1,80,0,0,3
13,0,0,0,0,0,0,1,0,0,1,15,0,0,727,12,77,0,0,3
22,1,0,0,1,0,0,0,0,0,1,7,6,0,669,9,73,0,0,3
24,1,0,0,0,0,0,0,0,0,1,6,6,0,497,9,79,0,0,3
26,1,0,0,1,0,0,0,0,0,0,0,9,0,607,3,73,0,0,3
38,0,0,0,1,1,0,1,0,0,1,4,4,2,494,18,78,0,0,3
41,1,0,0,1,0,0,0,0,0,1,-9,6,0,623,13,75,1,70,3
52,0,1,0,1,1,0,0,0,0,1,0,4,0,519,4,70,0,0,2
58,1,0,0,0,0,0,0,0,0,1,0,14,0,598,8,76,0,0,3
92,1,0,0,1,0,1,0,1,0,1,0,10,0,519,12,81,0,0,2
94,0,0,0,1,1,1,1,0,0,1,0,11,0,511,9,80,0,0,1
104,1,1,1,1,0,0,0,0,0,1,2,7,0,592,5,80,1,58,2
125,0,0,1,0,0,0,0,0,0,1,-9,17,3,533,35,80,1,30,3
126,0,0,0,1,0,0,1,0,1,1,2,3,0,513,6,71,0,0,2
135,0,0,0,1,0,1,0,1,0,1,-9,9,0,604,25,78,1,54,3
141,0,0,0,1,1,1,0,0,1,1,10,0,1,648,107,75,0,0,3
142,0,1,0,1,0,0,0,0,0,1,2,4,0,724,9,70,0,0,2
149,1,1,0,1,0,0,1,0,0,1,3,10,3,572,7,72,1,16,1
169,1,1,0,0,1,0,1,0,0,1,0,16,1,516,7,70,0,0,1
170,1,0,0,0,0,0,0,0,0,1,5,6,1,688,6,71,0,0,3
171,1,0,0,1,0,0,1,1,0,1,0,14,0,575,4,71,0,0,3
173,0,0,1,0,0,0,1,0,0,1,3,8,0,596,19,73,1,45,2
188,1,0,0,1,1,0,1,0,0,1,0,7,0,491,4,71,1,25,3
203,1,0,0,1,1,1,1,0,0,1,4,7,0,526,59,75,0,0,3
205,1,0,0,1,0,0,0,0,0,1,0,12,0,551,2,71,0,0,3
221,1,0,0,1,0,0,0,0,0,1,12,3,0,699,4,77,1,8,1
232,0,0,0,1,0,0,0,0,0,1,1,9,0,609,20,73,0,0,3
236,0,0,0,1,0,0,1,0,0,1,3,6,0,582,7,81,0,0,1
242,1,0,0,0,1,0,1,0,0,1,2,7,0,679,7,78,0,0,3
247,1,0,0,0,0,1,0,1,0,1,9,12,3,601,118,76,0,0,1
262,1,0,0,0,0,0,0,0,0,1,1,2,0,517,4,74,1,27,3
274,0,0,0,1,0,0,1,0,0,1,1,3,0,563,4,79,0,0,3
282,1,0,0,0,1,0,0,0,0,1,-9,11,0,524,2,70,0,0,3
283,0,1,0,1,0,0,1,0,0,1,0,11,0,507,5,70,0,0,2
286,1,0,1,0,0,0,1,0,0,1,-9,10,1,749,30,76,1,6,3
294,1,0,0,1,0,0,0,0,0,1,0,7,0,613,3,73,0,0,3
301,0,0,0,0,0,0,1,0,0,1,1,8,1,632,7,76,0,0,3
307,1,1,0,1,0,0,1,0,0,1,8,11,0,516,6,72,0,0,1
321,0,0,0,1,0,1,1,0,1,0,2,11,0,515,14,71,0,0,1
323,0,1,0,1,1,0,1,0,0,1,4,5,0,620,3,71,0,0,2
329,0,0,0,0,1,0,1,0,0,1,19,7,0,532,7,79,1,53,3
332,1,0,0,0,0,0,0,0,0,1,0,0,0,609,2,81,0,0,3
357,1,0,0,0,1,1,1,1,0,1,0,11,2,599,153,80,0,0,3
363,0,0,0,1,0,0,0,0,0,1,5,6,0,602,4,79,0,0,3
367,0,0,0,0,0,0,1,0,0,1,15,8,0,555,4,70,1,9,3
379,1,0,0,1,0,0,1,0,0,1,1,12,0,524,19,78,1,8,2
399,0,1,0,1,0,0,0,0,0,1,0,0,0,532,5,74,1,60,3
403,1,0,0,1,0,0,0,0,0,1,5,9,0,487,1,75,0,0,3
408,1,0,0,0,1,1,0,1,0,1,9,3,5,609,76,71,1,3,3
426,0,0,0,0,0,0,0,0,1,1,16,1,0,750,13,79,0,0,3
441,1,0,0,1,0,0,1,0,0,1,3,12,0,554,2,70,0,0,3
450,0,1,0,1,1,0,0,0,0,1,0,12,0,526,5,77,0,0,2
458,1,1,0,0,1,0,0,0,0,1,3,3,0,606,8,73,0,0,2
465,1,0,0,0,0,0,0,0,0,1,0,8,0,687,13,73,0,0,3
