,WHITE,ALCHY,JUNKY,SUPER,MARRIED,FELON,WORKREL,PROPTY,PERSON,MALE,PRIORS,SCHOOL,RULE,AGE,TSERVD,FOLLOW,RECID,TIME,FILE
3,1,0,0,1,1,0,0,0,0,1,0,11,0,303,4,81,0,0,2
4,1,0,0,0,0,0,1,0,0,1,0,0,3,272,13,76,0,0,3
7,1,0,0,1,0,0,1,0,0,1,1,6,3,301,18,73,1,32,3
10,1,0,0,0,0,0,1,0,0,0,0,14,0,329,9,70,0,0,1
11,0,0,0,0,0,1,0,0,0,1,0,10,0,277,8,76,0,0,2
12,1,0,0,0,1,1,0,0,0,1,0,9,4,273,25,79,0,0,2
14,0,0,0,1,0,1,1,1,0,1,0,12,0,307,19,75,0,0,1
15,0,0,0,0,0,0,0,0,0,0,0,9,0,287,3,80,0,0,3
20,1,0,0,0,1,0,0,1,0,1,8,9,0,292,7,73,1,5,2
21,1,0,0,0,1,1,1,0,1,1,1,8,4,307,48,79,1,6,3
31,0,0,0,1,0,0,1,0,0,1,0,11,0,289,8,71,0,0,3
34,1,0,0,1,1,0,1,0,0,1,1,12,1,308,12,80,0,0,3
43,1,0,0,1,0,1,1,1,0,1,0,8,0,295,27,81,0,0,3
44,1,0,0,1,0,0,0,0,0,0,0,12,0,308,3,72,0,0,3
47,0,0,0,1,1,1,0,0,0,1,0,11,6,295,31,77,1,20,3
50,0,0,0,1,0,0,1,1,0,1,0,6,0,257,19,79,0,0,2
51,0,0,0,1,0,0,1,0,0,1,1,12,0,277,13,79,0,0,1
63,0,0,0,1,0,1,1,1,0,1,2,10,3,314,34,73,0,0,1
64,0,0,0,0,0,0,0,0,0,1,0,14,1,287,5,76,0,0,3
69,0,0,0,1,0,1,1,1,0,1,-9,11,1,315,26,78,0,0,3
90,0,0,0,1,0,1,1,1,0,1,3,10,1,276,27,73,1,14,2
91,1,0,0,0,0,1,0,0,0,1,1,0,0,285,12,78,0,0,3
105,0,0,0,1,1,1,1,1,0,1,0,11,5,310,105,73,1,21,3
107,0,1,0,1,0,0,0,0,0,1,2,11,0,328,7,72,0,0,1
109,1,0,0,1,0,0,1,0,0,1,0,9,0,264,12,80,0,0,3
112,1,1,1,1,0,1,1,1,0,1,-9,7,7,285,83,80,1,16,3
116,1,1,0,1,1,0,1,0,0,1,0,10,1,278,19,76,1,7,1
122,0,0,0,0,1,0,0,0,0,1,0,8,0,284,10,80,0,0,1
124,1,0,0,1,0,1,0,1,0,1,0,12,0,263,11,78,0,0,2
128,0,0,0,0,0,0,1,0,0,1,-9,11,0,281,2,76,0,0,3
134,0,0,0,1,1,0,1,1,0,0,0,11,4,252,32,76,0,0,2
137,0,0,0,1,0,1,0,1,0,1,0,9,3,273,28,72,1,23,1
143,1,0,0,1,0,1,0,1,0,1,0,11,4,292,29,78,0,0,1
144,1,0,0,0,0,1,0,0,0,1,0,12,4,299,21,81,1,1,2
148,0,0,0,0,0,0,0,0,0,1,6,8,10,278,14,76,1,5,3
150,0,1,1,1,0,1,0,1,0,1,1,8,4,273,22,81,0,0,2
160,0,0,0,1,0,1,0,1,0,1,1,8,18,269,119,72,1,13,1
164,1,0,0,0,0,0,1,0,0,1,0,10,0,292,4,78,0,0,1
166,0,0,1,1,0,0,1,0,0,1,0,12,1,312,24,73,0,0,2
172,0,0,0,1,0,0,1,0,0,1,0,10,0,302,12,71,0,0,3
174,1,0,1,1,1,0,1,0,0,1,0,12,2,314,36,71,0,0,2
179,0,0,0,0,1,1,1,1,0,1,0,10,8,294,81,77,1,64,3
184,0,0,0,0,1,1,1,1,0,1,0,11,4,271,53,76,1,11,3
185,1,0,0,1,1,1,1,0,0,1,0,11,2,308,39,71,0,0,3
186,1,0,0,1,1,1,1,1,0,1,0,12,2,307,19,72,0,0,1
187,1,1,1,1,1,1,0,0,0,1,1,9,0,300,10,72,0,0,2
197,1,1,0,1,0,1,1,1,0,1,0,10,0,280,12,79,0,0,2
199,1,1,1,1,0,0,0,0,0,1,-9,9,5,315,29,74,0,0,3
202,1,0,0,1,0,0,0,0,0,1,0,11,1,275,7,79,0,0,2
206,0,0,0,1,0,0,0,0,0,0,0,8,1,264,12,77,0,0,1
210,1,0,0,0,0,0,1,0,0,1,0,9,1,268,5,72,0,0,1
212,1,1,1,0,1,0,0,0,0,1,0,10,1,285,5,70,0,0,2
213,1,0,0,1,0,1,0,1,0,0,0,12,3,266,24,81,0,0,2
215,0,0,0,0,1,0,0,1,0,1,1,9,3,274,39,79,1,21,3
219,1,0,0,1,0,0,0,0,0,1,0,10,1,268,8,72,0,0,2
220,1,0,0,1,0,0,1,1,0,1,1,10,3,283,22,72,0,0,2
224,0,0,0,0,1,0,0,0,0,1,2,11,3,319,7,81,1,14,3
237,1,0,0,1,0,0,0,0,0,1,7,8,4,311,15,71,1,1,2
240,0,0,0,0,0,1,0,0,0,1,0,10,0,287,17,80,1,11,2
243,1,0,0,1,1,0,1,0,0,1,1,11,0,298,7,80,0,0,1
245,1,0,0,1,0,0,0,0,0,1,0,9,0,270,8,76,0,0,3
