,NoDefaultNextMonth,Married,Single,Age,EducationLevel,MaxBillAmountOverLast6Months,MaxPaymentAmountOverLast6Months,MonthsWithZeroBalanceOverLast6Months,MonthsWithLowSpendingOverLast6Months,MonthsWithHighSpendingOverLast6Months,MostRecentBillAmount,MostRecentPaymentAmount,TotalOverdueCounts,TotalMonthsOverdue,HistoryOfOverduePayments
7,1,0,1,1,2,360,50,4,6,0,360,10,0,0,0
8,1,1,0,0,1,430,100,0,6,0,340,100,1,2,1
12,1,0,1,0,2,370,200,0,6,0,370,30,0,0,0
16,0,0,1,1,3,580,100,0,0,5,470,100,1,8,1
27,1,0,1,0,1,690,50,0,0,0,690,40,0,0,0
29,1,0,1,0,3,560,50,0,0,0,470,50,0,0,0
44,1,0,1,0,3,890,150,0,0,0,580,90,1,2,1
49,1,0,1,1,3,630,40,0,0,6,530,40,0,0,0
52,1,1,0,0,2,410,340,1,6,0,410,240,0,0,0
56,1,1,0,0,1,500,270,1,6,0,500,260,0,0,0
60,0,1,0,0,1,720,60,0,6,0,700,50,0,0,0
69,1,0,1,1,0,570,40,0,0,4,570,0,1,2,1
75,1,0,1,1,2,570,90,0,0,5,450,90,1,2,1
89,1,0,1,0,1,380,60,0,0,0,260,0,2,6,1
98,1,1,0,1,1,570,40,0,2,0,570,40,0,0,0
99,0,1,0,0,2,600,50,0,1,5,550,50,0,0,0
111,1,1,0,0,1,530,60,0,0,0,400,60,1,2,1
114,1,0,1,0,2,620,40,0,0,0,580,40,0,0,0
115,0,0,1,1,3,650,90,0,0,0,560,0,2,7,1
117,0,0,1,0,2,560,60,0,2,0,430,60,1,2,1
124,1,0,1,0,3,600,40,0,0,5,580,40,0,0,0
135,1,1,0,0,2,430,50,0,6,0,330,50,1,6,1
136,1,0,1,0,3,920,150,0,5,0,530,80,0,0,0
142,1,0,1,1,2,630,310,0,0,0,310,30,1,7,1
143,1,0,1,0,2,480,480,1,6,0,370,310,0,0,0
146,0,0,1,0,2,640,50,0,6,0,590,50,0,0,0
154,1,0,1,0,1,430,50,0,0,0,280,50,0,0,0
159,1,1,0,0,1,430,50,0,0,0,390,0,1,5,1
178,1,0,1,1,2,490,50,0,0,1,490,40,0,0,0
184,1,0,1,0,2,400,60,1,2,0,320,40,0,0,0
185,0,1,0,0,2,500,50,0,6,0,440,0,2,5,1
188,1,1,0,0,2,450,160,1,6,0,0,160,1,1,1
189,1,0,1,0,2,660,30,0,0,6,660,0,1,19,1
191,0,0,1,0,3,700,60,0,0,0,600,40,2,4,1
202,1,0,1,0,3,550,410,2,6,0,410,310,0,0,0
227,1,1,0,0,2,590,90,0,0,6,500,50,0,0,0
229,1,0,1,1,1,580,100,1,2,3,580,0,1,3,1
231,0,0,1,1,2,620,310,0,0,4,620,0,2,5,1
239,0,0,0,0,2,700,90,0,6,0,590,90,0,0,0
240,1,0,1,0,3,660,70,1,4,0,660,0,1,5,1
245,1,0,1,0,2,620,70,0,2,4,610,50,0,0,0
254,1,0,1,0,2,600,150,2,6,0,600,100,0,0,0
269,0,0,1,0,2,450,80,0,1,0,420,50,1,7,1
273,1,0,1,0,2,500,90,0,6,0,340,60,0,0,0
303,0,0,1,0,3,850,120,0,0,1,370,90,1,2,1
308,0,1,0,0,1,440,60,0,0,0,300,40,1,16,1
312,1,0,1,0,3,510,90,0,0,1,330,90,1,2,1
331,0,0,1,0,2,390,90,0,6,0,290,90,1,2,1
332,1,0,1,0,3,970,350,0,4,0,320,0,1,3,1
334,1,0,1,0,3,630,50,0,0,6,630,40,0,0,0
349,0,0,1,0,2,630,50,0,0,0,550,40,0,0,0
354,1,1,0,0,1,580,100,0,0,0,490,100,2,8,1
369,0,1,0,0,2,630,40,0,0,3,630,0,1,5,1
375,1,1,0,0,1,690,60,0,0,0,580,50,0,0,0
376,1,1,0,0,2,770,130,0,0,2,630,0,2,5,1
377,1,0,1,0,3,440,430,3,6,0,330,430,0,0,0
379,0,0,1,0,2,630,150,0,1,0,630,60,0,0,0
393,1,0,1,0,2,650,110,0,6,0,610,90,0,0,0
413,0,0,1,0,2,420,140,0,6,0,420,0,1,3,1
417,1,0,1,0,3,590,60,0,0,0,450,60,1,2,1
426,0,0,1,0,1,500,100,0,0,1,290,90,1,8,1
436,1,0,1,0,3,430,10,2,5,0,430,0,1,2,1
489,1,1,0,0,3,500,240,2,6,0,500,190,0,0,0
497,1,0,1,1,2,920,230,0,0,6,500,230,1,2,1
499,1,1,0,0,3,630,120,0,0,6,490,50,1,4,1
500,1,1,0,0,2,770,60,0,0,3,620,60,1,4,1
503,0,1,0,0,3,690,90,0,6,0,590,60,0,0,0
508,1,1,0,0,2,660,50,0,5,0,660,50,1,2,1
514,1,0,1,1,2,620,90,0,0,4,560,90,1,2,1
517,1,1,0,0,2,650,150,0,0,0,420,90,0,0,0
520,1,1,0,0,3,610,50,0,0,0,500,50,0,0,0
526,1,0,1,0,2,630,50,0,0,6,570,0,2,5,1
544,1,1,0,0,3,730,420,3,6,0,380,310,0,0,0
558,1,0,1,0,2,560,60,0,4,2,530,60,0,0,0
566,0,0,1,1,3,710,150,0,3,0,400,50,0,0,0
569,1,1,0,0,3,570,30,0,6,0,570,30,0,0,0
585,1,0,1,0,3,550,50,0,0,4,450,50,1,2,1
602,1,1,0,0,3,570,40,0,6,0,550,40,0,0,0
605,1,0,1,0,3,770,80,0,0,0,690,0,1,11,1
625,1,0,1,1,2,490,40,0,0,1,400,40,1,2,1
637,1,1,0,0,2,670,40,0,0,0,670,40,0,0,0
649,1,0,1,0,2,640,0,0,0,6,640,0,1,33,1
651,1,0,1,0,2,440,440,2,6,0,440,30,0,0,0
652,1,0,1,1,3,620,50,0,0,6,610,40,0,0,0
656,1,0,1,0,1,500,60,0,6,0,420,60,0,0,0
660,1,1,0,0,3,430,410,2,6,0,430,250,0,0,0
671,0,1,0,0,2,520,50,0,0,2,390,50,0,0,0
705,0,0,1,0,3,580,60,0,0,0,470,50,0,0,0
707,1,1,0,0,1,450,60,0,0,0,380,0,1,11,1
709,1,0,1,0,2,570,40,0,0,5,500,40,0,0,0
710,1,0,0,0,3,580,60,0,0,0,540,50,0,0,0
712,1,1,0,0,3,580,120,0,6,0,580,0,1,3,1
730,1,0,1,0,1,390,60,0,3,0,300,40,0,0,0
739,0,0,1,0,2,720,150,0,0,0,530,90,2,4,1
746,1,1,0,0,2,510,120,0,0,0,330,40,0,0,0
757,0,1,0,0,2,390,390,2,6,0,290,40,1,2,1
763,1,0,1,0,1,590,110,2,5,0,590,0,1,2,1
772,1,1,0,0,2,340,40,0,0,0,340,40,0,0,0
787,1,1,0,0,3,990,610,3,6,0,80,10,0,0,0
788,1,0,1,0,2,450,60,0,6,0,360,40,0,0,0
797,1,0,1,1,3,420,240,1,5,0,420,40,0,0,0
798,1,0,1,0,3,560,100,0,6,0,470,100,1,10,1
801,0,0,1,0,2,630,20,0,0,6,630,0,1,9,1
807,0,0,1,0,1,630,70,0,0,6,510,70,1,8,1
823,1,0,1,1,3,620,40,0,0,6,620,40,0,0,0
824,0,0,1,0,3,390,70,0,0,0,340,60,0,0,0
834,1,0,1,1,3,570,90,0,2,4,530,60,0,0,0
837,1,1,0,0,2,570,50,0,6,0,460,50,0,0,0
859,1,0,1,0,2,620,50,0,0,5,620,50,0,0,0
863,1,1,0,0,2,490,70,0,0,6,490,70,0,0,0
870,1,0,0,0,2,540,40,0,0,4,450,40,0,0,0
872,1,1,0,0,1,420,350,2,6,0,420,250,0,0,0
878,1,1,0,0,2,750,330,0,0,0,720,50,0,0,0
879,1,1,0,0,2,590,50,0,0,5,470,40,2,4,1
888,1,0,1,1,2,750,40,0,3,0,750,40,1,2,1
891,1,0,1,0,2,570,210,0,6,0,420,90,1,5,1
898,0,0,0,0,1,440,40,0,6,0,350,40,1,2,1
907,1,0,1,0,2,680,50,1,6,0,680,50,0,0,0
908,1,0,1,0,3,440,90,0,3,0,210,90,0,0,0
913,1,1,0,0,1,730,240,0,1,0,520,240,1,2,1
914,1,1,0,0,1,710,50,0,0,0,610,40,0,0,0
922,1,1,0,0,3,960,180,0,3,0,260,150,0,0,0
925,0,0,1,0,3,450,110,0,6,0,350,110,1,4,1
933,0,0,1,0,2,390,90,0,0,0,240,50,2,8,1
934,1,1,0,0,2,560,40,0,0,0,520,40,0,0,0
935,1,0,1,0,2,640,60,0,5,0,640,60,0,0,0
938,0,1,0,0,2,710,150,0,6,0,470,0,1,7,1
945,1,0,1,0,3,480,110,1,6,0,480,30,0,0,0
950,0,1,0,0,3,410,70,0,2,0,390,60,0,0,0
964,1,0,1,1,2,460,340,1,3,0,460,90,0,0,0
972,0,1,0,0,1,450,80,0,6,0,310,80,1,10,1
1023,1,1,0,0,3,560,240,0,6,0,300,40,0,0,0
1044,0,0,1,1,3,630,160,0,0,6,500,160,1,12,1
1055,1,0,1,1,2,620,120,0,0,6,580,50,0,0,0
1057,1,1,0,0,2,510,60,0,0,2,490,60,0,0,0
1058,1,1,0,0,1,890,360,1,2,0,620,180,0,0,0
1059,0,1,0,0,1,640,190,1,2,3,630,70,1,2,1
1060,0,1,0,0,1,410,60,0,2,0,300,50,1,2,1
1102,1,1,0,0,2,730,240,0,6,0,560,90,1,6,1
1104,0,1,0,0,2,640,100,0,0,6,570,0,1,10,1
1115,1,0,1,0,3,360,290,2,6,0,360,60,0,0,0
1117,1,0,1,1,3,570,50,0,2,2,570,0,1,3,1
1121,0,0,1,0,2,650,60,0,1,5,610,60,1,14,1
1123,1,1,0,0,2,560,170,0,6,0,550,40,0,0,0
1134,1,0,1,0,2,600,60,0,0,4,480,20,1,7,1
1137,1,1,0,0,2,620,50,0,0,0,590,50,0,0,0
1141,1,0,1,0,3,650,90,0,0,0,600,90,2,4,1
1154,1,1,0,0,1,610,290,0,0,4,600,0,2,5,1
1170,0,0,1,0,3,500,150,0,6,0,280,150,1,2,1
1175,0,0,1,0,2,390,90,0,6,0,310,90,1,6,1
1176,1,0,1,0,2,550,50,0,0,0,440,50,0,0,0
1224,1,0,1,1,2,620,70,0,4,2,620,40,0,0,0
1225,0,0,1,1,1,600,30,0,4,2,600,30,0,0,0
1228,0,1,0,1,2,770,320,0,4,0,390,80,0,0,0
1252,1,0,1,1,3,570,160,0,0,3,480,50,0,0,0
1268,0,0,1,0,2,600,60,0,6,0,500,30,2,4,1
1273,1,0,1,0,3,330,30,1,4,0,330,30,0,0,0
1276,1,1,0,0,2,520,180,1,6,0,520,180,0,0,0
1288,0,1,0,0,1,540,80,0,1,3,450,80,1,12,1
1291,1,1,0,0,1,480,50,0,0,0,370,50,0,0,0
1298,0,0,1,0,3,640,40,0,0,0,520,40,0,0,0
1308,1,0,1,1,2,460,220,0,6,0,200,80,1,2,1
1348,1,0,1,0,3,590,360,2,6,0,590,150,0,0,0
1353,1,1,0,0,1,710,60,0,0,0,710,60,1,2,1
1354,1,1,0,0,2,330,320,1,5,0,300,30,0,0,0
1357,0,1,0,1,2,580,90,0,1,4,510,90,1,6,1
1361,1,0,1,0,3,460,90,0,6,0,460,90,0,0,0
1364,1,1,0,0,3,600,100,0,6,0,450,100,1,8,1
1365,1,1,0,0,2,630,80,0,0,6,550,40,1,2,1
1371,1,0,1,0,2,700,330,0,6,0,440,50,0,0,0
1376,1,1,0,0,2,350,70,1,4,0,350,40,0,0,0
1381,1,1,0,0,3,630,80,0,0,0,480,40,1,2,1
1387,1,1,0,0,2,430,110,0,2,0,430,110,1,5,1
1389,1,0,1,1,2,510,150,0,0,2,340,150,2,4,1
1393,1,0,1,1,3,610,60,0,0,3,610,40,0,0,0
1398,1,1,0,0,1,550,40,0,0,4,450,40,1,2,1
1400,1,1,0,0,2,870,180,0,2,0,630,60,0,0,0
1427,1,0,1,0,2,600,100,0,0,6,540,0,1,11,1
1433,1,0,1,0,2,620,60,0,1,5,530,60,0,0,0
1434,1,0,1,0,2,650,60,2,4,0,640,40,0,0,0
1441,1,1,0,0,3,530,50,0,6,0,530,40,0,0,0
1450,1,1,0,0,2,430,50,0,0,0,340,50,0,0,0
1453,1,0,1,0,2,540,80,0,0,2,530,50,1,4,1
1455,1,1,0,0,2,620,50,0,0,6,520,50,1,2,1
1456,1,0,0,0,1,750,50,0,0,0,750,50,0,0,0
1459,1,0,1,0,2,470,70,0,0,5,460,70,0,0,0
1470,1,1,0,0,3,760,110,0,4,0,320,80,0,0,0
1471,0,0,1,1,2,640,150,0,2,4,590,150,1,2,1
1489,0,0,1,0,3,440,90,0,0,0,320,90,1,8,1
1493,1,0,1,0,2,640,310,1,6,0,380,230,0,0,0
1500,1,1,0,0,2,490,180,0,6,0,240,40,0,0,0
1504,1,1,0,0,2,370,230,0,6,0,220,40,0,0,0
1511,1,1,0,0,1,580,50,0,0,5,480,40,1,2,1
1514,1,0,1,1,2,630,50,0,0,6,590,50,0,0,0
1525,1,0,1,0,2,440,70,0,0,0,360,0,1,10,1
1527,1,0,1,0,3,680,50,0,6,0,640,50,0,0,0
1530,1,0,1,0,3,520,80,0,6,0,520,80,0,0,0
1532,1,0,1,0,2,670,110,0,0,6,500,100,1,11,1
1534,1,1,0,0,1,590,60,0,0,0,490,60,0,0,0
1552,1,0,0,0,1,410,40,0,0,0,290,40,0,0,0
1560,1,1,0,0,2,460,80,0,0,0,330,80,0,0,0
1563,1,1,0,0,1,780,270,0,0,5,490,270,1,4,1
1570,1,1,0,0,1,750,50,0,6,0,750,50,1,3,1
1571,1,1,0,0,2,420,90,0,6,0,270,90,2,7,1
1581,1,0,0,0,1,590,50,0,0,6,570,40,0,0,0
1588,1,0,1,0,2,410,360,1,6,0,410,190,0,0,0
1604,1,0,1,0,2,520,180,1,6,0,520,60,0,0,0
1622,1,0,1,0,3,500,50,0,0,0,380,50,0,0,0
1625,0,1,0,0,1,530,40,0,0,6,490,40,1,10,1
1637,1,0,1,0,1,780,140,0,0,4,720,0,1,8,1
1641,1,0,1,0,2,350,40,0,6,0,350,40,0,0,0
1642,0,0,1,0,2,580,40,0,0,5,540,40,0,0,0
1655,1,1,0,0,1,490,200,2,6,0,490,50,0,0,0
1659,1,0,1,1,1,440,40,1,3,0,440,30,0,0,0
1665,1,1,0,0,2,410,70,1,4,0,410,50,0,0,0
1669,1,0,1,0,1,530,90,0,0,2,390,90,1,9,1
1684,1,0,1,0,2,560,120,0,6,0,510,40,0,0,0
1687,1,0,1,1,3,720,90,0,1,5,720,90,0,0,0
1688,1,0,1,1,2,950,120,0,0,6,570,70,1,2,1
1689,0,1,0,0,1,410,0,0,4,0,410,0,1,4,1
1696,0,1,0,0,2,620,50,0,0,6,600,30,1,5,1
1705,0,0,1,0,1,460,210,1,1,0,110,70,1,6,1
1738,0,0,1,1,2,530,40,0,0,3,530,40,0,0,0
1754,1,0,1,0,2,620,40,0,0,0,540,40,0,0,0
1758,1,1,0,0,2,780,60,0,0,0,620,40,0,0,0
1762,1,0,1,0,2,620,80,0,2,4,560,80,0,0,0
1764,1,0,1,0,3,740,110,0,6,0,680,0,1,11,1
1775,0,1,0,0,2,560,70,0,1,0,470,70,1,12,1
1783,1,0,1,1,3,370,350,2,6,0,320,350,0,0,0
1791,1,0,1,0,3,630,240,0,6,0,570,50,0,0,0
1793,1,0,1,0,3,390,190,0,6,0,160,30,0,0,0
1804,0,0,1,0,3,320,190,3,6,0,320,110,0,0,0
1811,1,0,1,0,2,620,40,0,0,0,580,40,0,0,0
1830,0,1,0,0,1,610,30,1,4,2,600,30,0,0,0
1835,0,0,1,0,2,550,120,0,0,0,430,0,1,11,1
1836,1,0,1,1,3,600,70,0,0,3,600,40,0,0,0
1853,1,0,1,0,3,490,360,3,6,0,490,340,0,0,0
1879,0,0,1,0,2,560,50,0,0,0,490,50,1,12,1
1887,1,1,0,0,2,650,360,2,6,0,650,300,0,0,0
1896,1,0,1,0,2,530,50,0,6,0,440,50,0,0,0
1908,1,0,1,0,2,760,90,0,0,2,620,0,1,14,1
1922,0,0,1,0,2,360,280,0,0,0,260,60,0,0,0
1927,1,0,1,0,3,660,150,0,6,0,310,90,0,0,0
1928,1,0,1,0,2,700,60,0,0,0,570,50,0,0,0
1971,0,1,0,0,2,630,50,0,0,6,630,0,1,3,1
1993,1,1,0,0,3,450,440,2,6,0,450,380,0,0,0
1994,1,0,1,0,1,620,120,0,0,2,510,120,1,2,1
1996,1,0,1,1,3,520,60,0,0,0,460,60,0,0,0
1997,1,1,0,0,1,500,80,0,0,0,450,50,1,2,1
2001,1,1,0,0,3,610,320,2,4,1,610,10,0,0,0
2002,1,0,1,1,3,580,80,0,0,0,460,40,0,0,0
2012,0,0,1,0,2,670,90,0,0,6,560,0,2,7,1
2020,1,1,0,0,2,330,60,0,6,0,330,40,0,0,0
2025,0,1,0,0,2,470,40,0,0,0,380,40,1,2,1
2050,1,1,0,0,2,530,50,0,0,0,460,0,2,7,1
2058,1,1,0,0,3,620,90,0,4,0,530,40,1,9,1
2069,1,1,0,0,2,410,350,2,6,0,410,350,0,0,0
2071,1,1,0,0,2,580,150,0,0,1,250,120,1,6,1
2079,1,1,0,0,3,420,90,0,6,0,290,30,1,11,1
2091,1,0,1,0,2,520,80,0,6,0,510,80,1,9,1
2092,1,0,1,1,1,380,40,0,0,0,310,40,0,0,0
2094,1,0,1,1,3,540,40,0,0,4,460,30,1,4,1
2105,0,0,1,1,3,540,60,0,0,4,470,40,1,10,1
2114,0,1,0,0,2,450,50,0,4,0,390,50,1,12,1
2118,1,0,1,0,1,640,150,0,0,5,370,120,1,9,1
2127,1,1,0,0,2,640,80,0,4,0,540,0,2,6,1
2132,1,0,1,0,2,580,70,0,0,0,510,0,2,5,1
2143,0,1,0,0,1,610,130,0,0,6,570,40,1,2,1
2147,1,0,1,0,2,580,120,0,0,0,400,120,1,2,1
2163,1,0,1,0,3,630,220,0,0,5,440,200,1,2,1
2170,1,0,1,0,3,490,90,0,6,0,280,90,0,0,0
2173,1,0,1,0,3,510,90,0,6,0,490,60,0,0,0
2176,1,0,1,0,2,610,210,0,6,0,370,210,0,0,0
2180,1,0,1,0,3,380,40,0,6,0,320,40,0,0,0
2185,1,1,0,0,2,650,50,0,6,0,650,50,0,0,0
2188,1,0,1,1,2,330,70,2,5,0,330,20,0,0,0
2189,1,0,1,1,2,600,40,0,0,0,560,40,0,0,0
2195,1,0,1,1,2,610,90,0,2,0,540,90,1,2,1
2204,1,1,0,0,2,710,150,0,0,0,480,50,0,0,0
2206,1,0,1,1,3,530,110,1,2,1,530,40,0,0,0
2207,0,0,1,0,2,560,210,0,6,0,480,60,1,2,1
2216,1,0,1,0,3,330,30,0,6,0,330,30,0,0,0
2227,1,1,0,1,2,600,310,1,2,1,320,310,0,0,0
2234,1,0,1,0,2,630,70,0,0,6,530,70,1,7,1
2256,0,0,1,0,2,510,60,0,0,0,430,50,1,11,1
2268,0,1,0,0,2,530,110,0,0,0,420,90,1,10,1
2270,1,0,1,1,2,620,190,1,4,0,90,50,0,0,0
2280,1,0,1,0,2,460,120,0,0,0,420,50,0,0,0
2289,0,0,1,0,1,510,140,0,0,0,310,140,0,0,0
2295,1,1,0,0,3,790,0,0,6,0,790,0,1,5,1
2299,1,0,1,0,2,530,50,3,5,0,530,30,0,0,0
2306,1,1,0,0,2,320,200,2,4,0,320,30,1,2,1
2308,1,0,1,0,2,450,60,0,0,0,270,50,0,0,0
2310,1,1,0,0,2,780,50,0,0,3,720,0,1,3,1
2315,1,1,0,0,1,580,60,0,6,0,540,60,0,0,0
2334,1,0,1,0,2,460,100,1,6,0,380,100,0,0,0
2346,1,0,1,0,3,350,40,3,6,0,350,10,0,0,0
2347,0,0,1,0,2,500,150,0,6,0,500,150,0,0,0
2352,0,1,0,0,2,500,90,0,0,1,390,90,1,2,1
2363,0,0,1,0,3,550,100,4,6,0,550,100,0,0,0
2367,1,0,1,0,3,380,380,2,6,0,290,380,0,0,0
2378,0,0,1,0,2,590,60,0,0,0,460,60,1,6,1
2389,1,0,1,0,2,640,50,0,6,0,640,50,2,7,1
2410,1,0,1,0,3,610,50,0,0,6,540,50,0,0,0
2412,0,0,0,0,2,570,80,0,0,0,350,60,1,2,1
2418,1,0,1,0,2,390,40,0,1,0,380,40,1,2,1
2421,0,1,0,1,2,510,60,0,0,5,510,0,1,15,1
2423,1,1,0,0,2,610,90,0,1,5,600,40,0,0,0
2425,1,0,1,1,2,650,90,0,0,6,570,90,1,6,1
2446,1,0,1,0,2,520,470,2,5,0,520,40,0,0,0
2448,1,1,0,0,2,550,60,0,6,0,550,60,0,0,0
2463,0,0,1,0,2,610,60,0,0,6,590,0,1,12,1
2471,0,0,1,0,3,380,60,0,0,0,320,60,1,13,1
2480,0,0,1,1,2,590,40,0,0,6,590,0,1,3,1
2502,1,0,1,0,2,740,50,0,3,0,730,50,0,0,0
2508,1,0,1,0,3,650,60,0,0,0,400,50,0,0,0
2509,0,1,0,0,1,840,80,0,0,4,730,20,1,14,1
2525,1,0,1,0,2,770,50,0,0,0,750,40,0,0,0
2535,1,1,0,0,1,450,50,0,0,0,350,50,0,0,0
2538,1,1,0,0,3,770,0,0,6,0,770,0,0,0,0
2544,0,0,1,0,2,430,80,0,1,0,420,60,0,0,0
2547,1,0,1,0,1,620,40,0,0,6,500,40,0,0,0
2551,1,0,1,0,2,470,40,0,6,0,470,40,0,0,0
2552,0,1,0,0,1,530,40,0,0,3,480,40,0,0,0
2553,1,0,1,0,3,330,330,1,6,0,300,30,0,0,0
2559,1,0,1,0,3,510,90,0,3,0,300,60,1,4,1
2563,1,1,0,0,2,570,50,0,0,5,470,50,0,0,0
2578,1,0,1,0,3,530,310,4,6,0,300,310,0,0,0
2579,0,0,1,1,1,680,90,0,0,6,570,0,2,7,1
2580,1,0,1,0,2,540,0,0,6,0,540,0,0,0,0
2591,1,0,1,1,2,690,30,0,2,0,680,30,1,5,1
2594,1,1,0,0,3,590,210,0,3,0,150,90,0,0,0
2597,1,0,1,1,2,450,50,0,6,0,440,40,0,0,0
2604,1,0,1,1,1,850,310,0,0,0,470,60,0,0,0
2608,0,1,0,0,2,590,50,0,0,6,540,40,1,2,1
2618,1,0,1,0,3,810,310,0,0,0,710,150,0,0,0
2669,0,1,0,0,0,540,80,0,3,2,540,80,0,0,0
2699,1,1,0,0,2,680,60,0,0,0,680,0,1,6,1
2701,1,0,1,0,1,660,80,0,0,0,540,50,1,2,1
2709,1,0,1,1,1,560,30,1,4,0,560,30,0,0,0
2713,1,0,1,0,2,420,80,0,5,0,420,60,0,0,0
2723,1,1,0,0,1,540,310,0,6,0,440,40,0,0,0
2724,1,1,0,0,1,600,30,0,4,1,600,30,0,0,0
2760,1,1,0,0,2,540,60,0,6,0,540,60,0,0,0
2763,1,1,0,1,2,610,150,0,0,2,480,50,0,0,0
2765,1,1,0,0,2,620,90,0,6,0,230,60,0,0,0
2779,1,0,1,0,2,490,190,1,6,0,220,180,0,0,0
2786,1,1,0,0,1,590,40,0,2,4,540,40,0,0,0
2791,1,0,1,0,3,570,70,0,0,6,490,40,1,2,1
2800,1,0,0,0,1,560,60,0,2,2,470,60,0,0,0
2810,1,1,0,0,2,530,40,0,0,4,440,40,1,2,1
2812,1,0,1,0,2,660,90,0,6,0,600,60,0,0,0
2832,1,0,1,0,3,360,40,0,5,0,360,40,0,0,0
2842,1,1,0,0,2,430,60,0,6,0,310,50,1,6,1
2854,0,0,1,0,2,580,70,0,0,0,480,30,1,12,1
2856,1,0,1,0,2,550,50,0,0,6,490,50,0,0,0
2860,0,0,1,0,3,450,60,0,5,0,170,60,1,2,1
2863,1,1,0,0,2,580,50,0,0,0,460,50,0,0,0
2870,1,0,1,0,3,460,50,0,0,0,340,40,0,0,0
2874,1,0,1,0,2,540,90,0,0,1,420,40,0,0,0
2888,1,1,0,0,2,820,820,1,3,0,380,60,0,0,0
2915,1,0,1,0,2,500,150,1,6,0,500,20,1,3,1
2923,0,0,1,0,2,640,80,0,6,0,500,40,1,4,1
2925,1,0,1,0,2,760,90,0,0,1,530,90,1,2,1
2935,0,1,0,0,2,680,0,4,4,2,680,0,1,5,1
2939,1,0,1,0,3,610,100,0,6,0,590,70,0,0,0
2943,1,0,1,1,2,630,100,0,0,6,590,100,1,2,1
2951,1,1,0,1,2,480,120,1,6,0,480,120,0,0,0
2997,1,0,1,0,2,940,320,1,3,0,30,0,1,2,1
3008,1,0,1,0,2,520,40,0,1,4,460,40,0,0,0
3016,1,0,1,1,3,610,50,0,0,6,550,40,0,0,0
3020,0,1,0,0,1,760,140,0,0,1,570,140,1,6,1
3021,1,0,1,0,3,480,290,0,6,0,480,40,0,0,0
3022,1,0,1,0,2,410,70,0,0,0,240,40,1,3,1
3026,0,1,0,0,3,840,150,0,6,0,570,90,1,2,1
3031,1,0,1,1,2,390,250,0,0,0,250,60,1,2,1
3041,1,0,1,0,2,720,40,0,0,0,720,40,0,0,0
3062,1,0,1,0,2,420,60,0,6,0,310,40,0,0,0
3075,1,0,1,0,3,490,150,0,6,0,490,0,2,7,1
3099,1,1,0,0,3,730,400,0,6,0,470,400,0,0,0
3134,1,0,1,0,3,890,220,1,6,0,380,210,0,0,0
3136,1,0,1,0,3,610,240,0,0,5,530,80,0,0,0
3140,0,0,1,0,2,600,90,0,0,6,570,0,1,7,1
3153,0,0,1,0,2,610,50,0,1,4,590,50,1,2,1
3164,1,0,1,0,3,400,60,0,5,0,400,40,1,2,1
3167,1,0,0,0,2,330,350,2,6,0,330,30,0,0,0
3170,0,0,1,1,3,410,60,0,0,0,320,0,1,7,1
3173,1,0,1,1,2,630,60,0,0,6,550,0,2,4,1
3181,1,1,0,0,1,380,380,3,6,0,340,380,0,0,0
3191,0,0,1,1,2,610,50,0,0,0,530,0,2,7,1
3193,1,1,0,0,1,430,90,0,6,0,430,80,0,0,0
3195,1,0,1,0,1,370,70,0,0,0,240,40,1,4,1
3196,1,0,1,0,3,370,370,3,4,0,350,370,0,0,0
3198,1,0,1,1,2,620,150,0,0,5,480,140,1,2,1
3207,1,0,1,0,3,840,840,3,6,0,400,20,0,0,0
3209,1,0,1,0,3,390,190,1,6,0,390,150,0,0,0
3216,0,0,1,0,3,600,310,1,0,5,280,310,1,12,1
3225,1,1,0,0,1,580,90,0,2,4,520,90,1,2,1
3239,1,1,0,0,2,520,50,1,6,0,520,40,1,7,1
3243,0,0,1,1,3,830,250,0,0,3,450,60,1,2,1
