,NoDefaultNextMonth,Married,Single,Age,EducationLevel,MaxBillAmountOverLast6Months,MaxPaymentAmountOverLast6Months,MonthsWithZeroBalanceOverLast6Months,MonthsWithLowSpendingOverLast6Months,MonthsWithHighSpendingOverLast6Months,MostRecentBillAmount,MostRecentPaymentAmount,TotalOverdueCounts,TotalMonthsOverdue,HistoryOfOverduePayments
3,1,1,0,0,2,1510,60,0,0,3,1430,60,0,0,0
15,1,0,0,1,1,1550,50,0,0,1,1550,0,1,3,1
22,0,0,1,0,2,1430,110,0,0,0,1250,60,2,8,1
25,1,0,1,1,1,1450,60,0,0,2,1450,60,0,0,0
50,0,0,1,0,1,1200,90,0,0,0,1130,0,1,9,1
53,1,0,1,0,3,1380,60,0,0,0,1260,40,1,3,1
54,1,0,1,0,3,1410,150,0,3,0,1410,50,1,2,1
71,0,0,1,0,2,1940,150,0,6,0,1780,80,1,12,1
76,1,0,1,0,1,1310,50,0,2,1,1310,50,0,0,0
84,1,0,1,0,1,1490,50,0,0,2,1490,50,0,0,0
94,1,0,1,1,2,1440,60,0,0,0,1390,60,0,0,0
103,0,0,1,1,1,1360,50,0,0,2,1360,50,0,0,0
104,1,0,1,0,2,1840,150,0,0,6,1730,0,1,10,1
113,1,0,1,1,3,1840,160,0,0,0,1590,60,0,0,0
119,1,0,1,0,2,1620,90,0,2,0,1530,60,0,0,0
120,0,0,1,0,1,1560,120,0,0,6,1400,30,1,13,1
129,1,1,0,0,1,1880,80,0,0,3,1850,80,1,7,1
139,1,0,1,1,3,1550,70,0,0,3,1550,70,0,0,0
155,1,1,0,0,3,1490,360,0,1,0,730,150,0,0,0
170,1,0,1,0,2,1150,150,0,6,0,1150,150,0,0,0
177,1,0,1,0,2,1490,60,0,0,3,1490,0,2,5,1
181,1,0,1,0,1,1510,380,0,2,0,1510,380,0,0,0
183,0,1,0,1,2,1770,90,0,0,3,1770,80,0,0,0
194,1,1,0,0,2,1460,610,3,3,1,1460,60,0,0,0
195,0,0,1,1,3,1220,60,0,0,0,1100,60,1,11,1
212,1,1,0,0,1,1190,50,0,0,5,1170,50,0,0,0
224,0,0,1,0,1,1610,930,1,0,3,1610,0,1,6,1
228,0,0,1,1,2,1520,70,0,0,3,1520,70,1,2,1
234,1,1,0,0,2,1780,50,0,0,1,1780,50,0,0,0
241,1,0,1,0,3,1550,90,0,0,4,1440,50,0,0,0
246,1,1,0,0,2,1610,170,2,5,0,1610,50,0,0,0
247,1,0,1,0,2,1150,70,0,0,0,1150,50,0,0,0
248,1,0,1,0,3,1560,150,0,6,0,1410,80,1,2,1
250,1,0,1,0,2,1570,90,0,0,3,1550,50,1,5,1
258,1,1,0,0,1,1900,0,0,5,0,1900,0,0,0,0
261,1,0,1,0,2,1500,190,0,0,1,1500,50,0,0,0
278,1,1,0,0,1,1550,70,0,0,3,1550,60,0,0,0
283,1,0,1,0,3,1720,150,0,0,0,1630,130,0,0,0
286,1,0,1,0,3,1940,100,0,0,0,1850,100,1,2,1
298,1,1,0,0,3,1930,110,0,3,0,1800,80,0,0,0
302,1,1,0,0,1,1560,70,0,0,2,1520,70,0,0,0
313,0,1,0,0,1,1830,180,0,0,0,1600,0,1,6,1
314,1,0,1,0,3,1700,50,0,2,0,1700,50,0,0,0
315,0,0,1,1,2,1510,60,0,0,1,1510,60,0,0,0
316,1,0,1,0,2,1640,80,0,0,0,1460,70,0,0,0
318,1,1,0,0,1,1560,110,0,0,2,1480,110,1,7,1
320,0,0,1,0,2,1780,80,0,0,0,1780,80,1,5,1
338,0,1,0,0,2,1520,130,0,0,3,1420,60,0,0,0
347,0,0,1,0,2,1540,90,0,0,5,1440,90,0,0,0
350,1,0,1,0,3,1190,710,1,3,0,1190,50,0,0,0
362,1,0,1,0,2,1400,50,0,0,5,1400,0,1,9,1
366,1,1,0,0,2,1540,90,0,0,3,1440,90,0,0,0
372,1,0,1,0,3,1520,270,0,0,0,1050,50,1,6,1
384,1,0,1,0,2,960,310,1,2,0,690,310,0,0,0
396,1,0,1,0,3,1310,80,0,0,0,1250,80,0,0,0
401,1,0,0,0,1,1260,80,0,0,0,1260,50,0,0,0
408,1,0,1,0,3,2030,500,0,5,0,1700,350,0,0,0
418,1,1,0,0,2,1350,110,0,0,2,1350,110,0,0,0
432,1,0,1,0,3,1620,80,0,0,0,1470,80,0,0,0
438,1,1,0,0,3,1560,90,0,0,4,1560,80,0,0,0
445,1,0,1,0,2,1140,50,0,6,0,1140,50,0,0,0
447,1,1,0,0,3,1410,900,2,5,0,1410,40,0,0,0
448,1,1,0,0,0,1180,150,1,6,0,1180,150,0,0,0
455,1,0,1,0,2,1220,160,0,1,2,1220,60,0,0,0
459,0,1,0,0,2,1560,200,0,2,0,1560,60,0,0,0
476,1,0,1,0,3,1550,50,0,0,1,1550,50,0,0,0
482,1,0,1,0,2,1280,210,0,2,0,1260,60,1,2,1
507,1,0,1,0,2,1290,80,0,2,0,1290,80,1,2,1
533,0,1,0,0,1,1910,230,0,0,0,1640,60,2,10,1
545,1,0,1,0,3,1590,150,0,6,0,1550,150,0,0,0
549,1,0,1,0,3,1600,150,0,0,0,1600,150,0,0,0
552,0,1,0,0,3,1560,80,0,0,2,1550,80,0,0,0
559,1,1,0,0,1,1990,150,0,0,0,1750,90,0,0,0
570,1,0,1,0,3,1700,600,2,5,0,1700,260,1,1,1
571,1,0,1,1,2,1540,80,0,0,2,1520,60,0,0,0
581,1,0,1,0,2,1170,460,0,0,0,1090,460,0,0,0
584,1,0,1,0,2,1550,70,0,1,5,1540,70,0,0,0
593,1,1,0,0,2,1490,150,0,0,0,1490,70,0,0,0
594,1,0,1,0,1,1900,80,0,0,0,1730,80,0,0,0
607,1,0,1,1,3,1350,150,0,0,0,1250,60,1,2,1
610,1,0,1,0,3,1350,1010,2,5,0,1350,30,0,0,0
612,1,1,0,0,2,1490,60,0,0,6,1470,60,0,0,0
618,1,0,1,0,3,1800,60,0,0,2,1800,60,0,0,0
626,1,1,0,0,3,1830,100,0,0,1,1830,80,0,0,0
634,1,1,0,0,1,1420,150,0,0,0,1420,120,0,0,0
639,1,0,1,0,2,1810,90,0,0,0,1720,90,0,0,0
642,1,0,1,0,2,2000,150,0,0,0,1410,150,0,0,0
657,0,0,1,0,3,1540,90,0,1,0,1430,80,0,0,0
658,1,0,1,1,3,1630,140,1,3,0,1630,140,0,0,0
661,0,1,0,0,2,1370,100,2,4,0,1310,100,0,0,0
666,1,1,0,0,1,2060,140,0,0,6,1880,90,1,2,1
689,1,0,1,0,2,1580,60,0,0,0,1570,60,0,0,0
693,1,0,1,0,3,1860,180,0,0,5,1700,180,2,4,1
694,1,1,0,0,2,1330,440,2,6,0,1330,20,0,0,0
699,1,0,1,0,3,1330,50,0,6,0,1330,50,1,2,1
703,0,0,0,0,2,1600,60,0,0,3,1600,0,1,6,1
706,1,1,0,0,2,1800,100,0,0,6,1770,80,1,3,1
711,1,1,0,0,2,1460,60,0,0,6,1460,50,0,0,0
719,1,0,1,0,2,1380,530,1,1,0,1380,90,0,0,0
734,1,1,0,0,2,1410,90,0,0,0,1410,70,0,0,0
