,NoDefaultNextMonth,Married,Single,Age,EducationLevel,MaxBillAmountOverLast6Months,MaxPaymentAmountOverLast6Months,MonthsWithZeroBalanceOverLast6Months,MonthsWithLowSpendingOverLast6Months,MonthsWithHighSpendingOverLast6Months,MostRecentBillAmount,MostRecentPaymentAmount,TotalOverdueCounts,TotalMonthsOverdue,HistoryOfOverduePayments
10,1,0,1,0,1,340,110,1,6,0,340,70,1,2,1
24,1,0,1,1,3,250,180,2,6,0,140,180,0,0,0
42,1,0,1,1,2,180,90,0,1,0,60,50,0,0,0
66,0,1,0,0,2,130,70,1,1,0,60,70,1,6,1
72,1,1,0,0,2,280,280,1,6,0,280,180,1,2,1
87,1,0,1,0,2,260,70,1,6,0,120,40,0,0,0
91,1,0,1,0,3,230,120,1,6,0,230,0,0,0,0
92,1,0,1,0,3,170,230,1,6,0,0,230,0,0,0
100,1,0,1,0,3,310,310,2,6,0,20,310,0,0,0
106,1,1,0,0,2,190,100,1,6,0,190,90,0,0,0
128,0,1,0,0,2,220,50,0,6,0,100,30,0,0,0
137,1,1,0,0,2,280,60,0,6,0,220,50,0,0,0
145,1,0,1,0,3,320,60,0,4,0,150,30,1,3,1
148,1,1,0,1,2,370,60,0,6,0,280,50,1,8,1
176,1,0,1,0,3,190,110,3,6,0,190,20,0,0,0
209,1,1,0,0,3,270,130,1,6,0,270,130,0,0,0
243,1,0,1,0,3,180,90,2,6,0,100,90,1,4,1
265,1,1,0,0,2,190,10,1,6,0,190,0,0,0,0
266,1,0,1,1,1,300,40,0,0,4,210,30,1,2,1
289,1,1,0,0,2,360,40,0,6,0,270,40,0,0,0
293,0,0,1,0,2,310,110,0,0,5,210,110,1,2,1
304,1,0,1,0,3,230,120,2,6,0,30,20,0,0,0
322,1,0,1,1,2,260,110,0,6,0,40,30,0,0,0
339,1,0,1,0,3,200,210,4,6,0,30,210,0,0,0
341,1,0,1,0,2,190,40,1,6,0,180,40,0,0,0
383,0,0,1,0,2,180,60,0,6,0,90,30,1,2,1
422,1,0,1,0,2,310,90,2,6,0,310,90,0,0,0
461,1,1,0,0,2,260,260,2,6,0,50,260,0,0,0
469,1,1,0,0,3,190,190,3,6,0,190,100,0,0,0
494,0,1,0,0,3,320,40,0,6,0,260,40,0,0,0
518,1,0,1,1,2,320,60,0,0,6,310,0,1,3,1
532,0,0,1,0,2,210,70,0,0,0,120,70,1,6,1
538,1,0,1,0,3,130,30,1,6,0,100,30,0,0,0
550,0,1,0,0,1,230,60,0,6,0,140,50,1,6,1
553,1,1,0,0,3,190,190,1,6,0,0,190,1,1,1
556,1,1,0,0,3,160,160,2,6,0,160,160,0,0,0
572,1,0,1,0,3,330,320,1,6,0,330,320,0,0,0
573,0,0,1,0,2,160,160,2,6,0,100,160,0,0,0
574,1,1,0,0,1,230,240,4,6,0,100,140,0,0,0
578,1,0,1,0,2,220,40,0,6,0,160,40,0,0,0
579,1,1,0,0,2,270,270,1,4,0,240,80,0,0,0
606,1,1,0,0,2,320,50,0,5,0,280,40,0,0,0
608,1,1,0,0,1,280,280,3,6,0,120,280,0,0,0
622,1,0,1,0,3,230,0,0,6,0,230,0,0,0,0
629,1,0,0,0,1,300,300,3,6,0,140,220,0,0,0
636,1,1,0,0,1,210,70,0,6,0,170,30,0,0,0
654,1,0,1,0,2,300,80,0,0,4,250,80,0,0,0
663,1,0,1,1,3,190,40,1,6,0,160,40,0,0,0
669,0,1,0,0,3,230,60,0,0,0,180,60,1,6,1
682,1,1,0,0,3,190,40,0,6,0,130,40,0,0,0
697,1,0,1,0,2,270,0,0,6,0,270,0,1,4,1
700,1,0,1,0,2,250,250,3,6,0,0,250,0,0,0
702,0,0,1,1,1,300,60,0,3,3,250,60,0,0,0
721,0,0,1,1,2,290,80,0,0,4,240,60,0,0,0
725,0,1,0,0,2,310,50,0,0,5,220,40,1,2,1
750,1,1,0,0,2,160,60,1,6,0,0,0,1,1,1
765,1,0,1,0,3,170,140,2,6,0,60,30,0,0,0
792,1,0,1,0,3,160,160,4,6,0,160,160,0,0,0
803,1,0,1,0,3,200,200,0,6,0,200,200,0,0,0
806,1,0,1,1,2,220,220,2,6,0,30,210,2,3,1
825,1,0,1,0,2,220,220,1,6,0,0,220,1,1,1
827,1,0,1,0,2,270,80,0,0,3,270,40,1,4,1
845,1,1,0,0,3,330,330,3,6,0,130,140,0,0,0
854,1,0,1,0,1,310,90,0,5,0,150,60,0,0,0
877,1,0,1,0,2,290,290,3,6,0,180,160,0,0,0
906,0,0,1,0,3,160,70,1,6,0,130,70,2,10,1
926,1,1,0,0,2,260,50,0,0,0,180,30,0,0,0
939,1,1,0,0,2,340,340,3,6,0,160,310,0,0,0
942,1,1,0,0,3,180,180,1,6,0,150,110,0,0,0
944,1,0,1,1,2,120,120,2,6,0,120,120,0,0,0
953,1,0,1,0,2,180,180,1,6,0,100,90,0,0,0
957,0,1,0,0,3,230,30,0,6,0,190,30,0,0,0
960,0,0,1,0,3,250,0,0,6,0,250,0,1,5,1
973,1,0,0,0,3,200,260,3,6,0,0,260,0,0,0
976,0,0,1,0,2,230,60,0,2,0,190,60,1,5,1
978,0,0,1,0,2,320,120,0,6,0,170,30,0,0,0
1002,1,1,0,0,2,150,90,3,6,0,150,0,0,0,0
1004,0,0,1,0,1,300,300,1,6,0,10,300,0,0,0
1005,1,0,1,0,3,160,80,3,6,0,90,60,0,0,0
1011,1,1,0,0,3,80,190,3,6,0,80,60,1,4,1
1016,0,0,1,0,3,380,380,3,6,0,70,280,0,0,0
1024,1,0,1,0,2,160,160,2,6,0,120,120,0,0,0
1061,1,1,0,0,2,330,90,0,5,0,330,50,0,0,0
1081,1,1,0,0,2,310,50,0,0,6,260,0,1,11,1
1103,1,0,1,0,1,160,210,4,6,0,50,210,0,0,0
1106,1,1,0,0,3,240,30,1,6,0,240,0,0,0,0
1140,1,0,1,0,2,130,100,1,5,0,100,30,0,0,0
1142,1,1,0,0,3,260,330,1,6,0,260,110,0,0,0
1143,1,1,0,1,2,170,170,2,6,0,80,0,0,0,0
1153,1,0,1,0,3,330,170,1,6,0,330,30,0,0,0
1155,1,1,0,0,2,300,300,3,6,0,270,180,0,0,0
1158,1,1,0,0,2,130,130,1,6,0,120,0,0,0,0
1161,1,1,0,0,2,180,100,2,6,0,180,50,0,0,0
1168,1,0,1,1,3,200,200,3,6,0,110,200,0,0,0
1169,1,0,1,0,1,330,60,1,3,0,40,60,0,0,0
1190,1,0,1,0,3,250,80,0,6,0,90,60,0,0,0
1218,1,0,1,1,3,340,40,0,2,0,260,40,0,0,0
1223,0,1,0,0,2,180,180,1,6,0,100,70,0,0,0
1226,1,1,0,0,1,160,60,2,6,0,160,0,0,0,0
1237,1,1,0,0,3,260,260,1,6,0,250,230,0,0,0
1244,1,0,1,0,1,300,60,0,0,5,240,40,0,0,0
1271,1,0,0,0,2,310,60,0,0,5,290,0,1,3,1
1283,1,1,0,0,1,380,80,2,6,0,370,60,0,0,0
1297,1,1,0,0,2,200,190,4,6,0,200,80,0,0,0
1299,0,1,0,0,2,320,220,1,6,0,320,0,1,2,1
1301,0,0,1,1,1,310,70,0,0,6,310,70,1,2,1
1304,1,0,1,0,2,310,40,0,0,0,220,40,0,0,0
1314,1,1,0,0,3,240,340,1,6,0,240,40,2,4,1
1327,1,0,1,0,2,270,60,0,6,0,140,40,1,4,1
1333,1,1,0,0,2,130,130,2,6,0,100,30,0,0,0
1338,1,0,1,1,3,270,50,0,6,0,270,50,0,0,0
1341,1,1,0,0,3,320,330,3,6,0,10,210,0,0,0
1343,1,0,1,0,2,340,330,1,1,0,30,330,1,2,1
1349,0,0,1,0,2,250,30,0,1,1,250,0,1,3,1
1351,0,1,0,0,3,240,60,2,6,0,240,30,0,0,0
1352,1,0,1,0,3,210,40,0,6,0,140,40,0,0,0
1360,1,0,1,0,2,290,290,2,6,0,240,290,0,0,0
1397,1,1,0,0,2,160,80,2,6,0,160,30,0,0,0
1402,0,1,0,0,2,360,80,0,6,0,130,80,0,0,0
1404,1,1,0,0,3,260,0,0,6,0,260,0,0,0,0
1406,1,0,1,0,3,200,200,3,6,0,70,200,0,0,0
1409,1,0,1,0,3,150,150,2,6,0,50,20,0,0,0
1411,1,1,0,0,1,300,300,2,6,0,270,190,0,0,0
1443,1,0,0,0,1,280,280,4,6,0,110,150,0,0,0
1448,1,0,1,0,1,310,70,0,0,6,270,70,0,0,0
1481,1,0,1,0,3,180,30,0,6,0,120,30,0,0,0
1515,1,1,0,0,2,270,280,1,6,0,200,20,1,1,1
1521,1,0,1,0,2,330,50,0,6,0,300,50,1,20,1
1540,0,0,1,1,2,330,70,0,0,0,250,0,1,3,1
1545,0,1,0,0,2,230,230,3,6,0,100,230,0,0,0
1565,1,0,1,0,3,110,40,0,6,0,60,30,0,0,0
1574,1,1,0,0,1,120,170,2,6,0,0,170,2,3,1
1576,1,0,1,0,3,270,270,1,6,0,190,270,0,0,0
1579,1,1,0,0,2,220,220,2,6,0,130,220,0,0,0
1582,1,0,1,0,1,260,40,0,6,0,170,40,0,0,0
1590,1,1,0,0,1,340,60,0,5,0,120,60,0,0,0
1613,0,1,0,0,3,190,10,1,6,0,190,10,0,0,0
1617,1,1,0,0,3,330,80,0,6,0,330,80,0,0,0
1640,1,1,0,0,3,150,100,2,6,0,150,20,0,0,0
1662,1,0,1,0,3,190,210,3,6,0,40,210,1,4,1
1671,1,0,0,0,2,320,90,1,5,0,320,80,0,0,0
1681,1,0,1,0,2,140,80,0,6,0,110,40,0,0,0
1728,1,0,1,0,1,170,40,1,4,0,150,40,0,0,0
1755,1,1,0,0,1,280,50,0,6,0,170,40,0,0,0
1766,0,0,1,1,3,340,30,0,0,0,240,30,1,6,1
1768,1,0,1,0,3,330,340,3,6,0,150,110,0,0,0
1773,0,0,1,0,2,270,40,0,6,0,220,0,2,6,1
1848,1,0,1,0,3,300,300,3,6,0,200,30,0,0,0
1855,1,1,0,0,2,270,90,0,6,0,270,90,0,0,0
1861,0,0,1,0,2,250,20,0,0,1,250,0,1,21,1
1867,1,1,0,0,2,130,60,3,6,0,110,30,0,0,0
1902,1,1,0,0,3,290,290,3,6,0,180,290,0,0,0
1907,1,0,1,0,3,230,230,4,6,0,20,220,0,0,0
1916,1,0,1,0,2,170,60,0,6,0,170,60,0,0,0
1955,1,0,1,0,2,320,40,0,0,6,270,40,1,11,1
1958,1,1,0,0,3,180,180,2,6,0,120,30,0,0,0
1999,1,1,0,0,2,250,250,2,6,0,240,250,0,0,0
2000,0,0,1,1,2,300,40,0,0,6,260,40,0,0,0
2016,0,0,1,1,2,220,50,0,0,0,170,0,1,11,1
2038,1,0,1,1,2,300,300,1,2,2,160,20,0,0,0
2046,1,0,1,0,1,240,210,3,5,0,70,210,1,4,1
2047,1,0,1,0,3,320,220,2,6,0,260,150,0,0,0
2056,0,0,1,0,2,230,40,0,6,0,200,0,1,3,1
2062,1,1,0,0,2,300,90,0,6,0,160,90,0,0,0
2078,1,0,1,0,3,360,360,1,6,0,210,100,0,0,0
2081,1,1,0,0,3,230,240,2,6,0,230,240,0,0,0
2093,1,0,1,0,0,90,80,1,6,0,90,0,1,3,1
2119,1,0,1,0,2,310,310,3,6,0,310,310,0,0,0
2125,1,0,1,0,3,330,330,4,6,0,120,180,0,0,0
2144,0,1,0,0,2,210,30,0,0,0,150,0,2,10,1
2175,1,1,0,0,3,130,130,2,6,0,120,100,0,0,0
2183,1,1,0,0,3,230,230,1,6,0,60,230,0,0,0
2196,1,0,1,1,1,290,40,0,0,2,290,40,0,0,0
2202,1,1,0,0,1,270,60,0,6,0,260,40,0,0,0
2212,1,0,1,1,2,290,40,0,0,5,240,40,0,0,0
2238,1,1,0,0,1,160,160,2,6,0,110,30,0,0,0
2242,1,0,1,1,2,310,50,0,0,6,270,0,1,7,1
2251,1,1,0,0,2,180,80,0,6,0,80,80,2,8,1
2253,1,0,1,0,1,300,40,0,1,5,270,40,0,0,0
2290,1,0,0,0,1,290,30,0,0,5,250,0,1,3,1
2332,1,0,1,1,3,170,90,2,3,0,80,90,1,8,1
